year,duration_ms,median_min,median_min_part,median_sec_part
1960,157960.0,2.6326666666666667,2.0,38.0
1961,150780.0,2.513,2.0,31.0
1962,152160.0,2.536,2.0,32.0
1963,147266.0,2.4544333333333332,2.0,27.0
1964,158040.0,2.634,2.0,38.0
1965,165000.0,2.75,2.0,45.0
1966,167933.0,2.7988833333333334,2.0,48.0
1967,170466.0,2.8411,2.0,50.0
1968,188039.5,3.1339916666666667,3.0,8.0
1969,194293.0,3.2382166666666667,3.0,14.0
1970,215200.0,3.5866666666666664,3.0,35.0
1971,220573.0,3.676216666666667,3.0,41.0
1972,203440.0,3.3906666666666667,3.0,23.0
1973,215701.0,3.5950166666666665,3.0,36.0
1974,208593.0,3.47655,3.0,29.0
1975,222066.0,3.7011,3.0,42.0
1976,223973.0,3.7328833333333336,3.0,44.0
1977,225666.0,3.7611,3.0,46.0
1978,218846.0,3.6474333333333333,3.0,39.0
1979,295253.0,4.920883333333333,4.0,55.0
1980,231866.0,3.8644333333333334,3.0,52.0
1981,233213.0,3.886883333333333,3.0,53.0
1982,234793.0,3.9132166666666666,3.0,55.0
1983,258399.0,4.30665,4.0,18.0
1984,247413.0,4.12355,4.0,7.0
1985,256021.0,4.267016666666667,4.0,16.0
1986,258333.0,4.30555,4.0,18.0
1987,253870.0,4.231166666666667,4.0,14.0
1988,276666.0,4.6110999999999995,4.0,37.0
1989,252333.0,4.20555,4.0,12.0
1990,272446.5,4.540775,4.0,32.0
1991,256226.0,4.270433333333333,4.0,16.0
1992,254933.0,4.248883333333334,4.0,15.0
1993,268910.0,4.481833333333333,4.0,29.0
1994,271313.0,4.521883333333333,4.0,31.0
1995,280286.0,4.671433333333334,4.0,40.0
1996,262373.0,4.372883333333333,4.0,22.0
1997,269493.0,4.49155,4.0,29.0
1998,268353.0,4.47255,4.0,28.0
1999,243160.0,4.052666666666666,4.0,3.0
2000,240461.5,4.007691666666667,4.0,0.0
2001,240057.0,4.00095,4.0,0.0
2002,231040.0,3.8506666666666667,3.0,51.0
2003,235666.5,3.927775,3.0,56.0
2004,235373.0,3.922883333333333,3.0,55.0
2005,226146.5,3.7691083333333335,3.0,46.0
2006,233640.0,3.8939999999999997,3.0,54.0
2007,236303.5,3.938391666666667,3.0,56.0
2008,234019.5,3.900325,3.0,54.0
2009,232866.0,3.8811000000000004,3.0,53.0
2010,227741.0,3.7956833333333337,3.0,48.0
2011,228128.5,3.8021416666666665,3.0,48.0
2012,224653.0,3.7442166666666665,3.0,45.0
2013,223546.0,3.7257666666666664,3.0,44.0
2014,228333.0,3.8055499999999998,3.0,48.0
2015,213520.0,3.558666666666667,3.0,34.0
2016,221700.0,3.695,3.0,42.0
2017,215424.5,3.5904083333333334,3.0,35.0
2018,209033.0,3.483883333333333,3.0,29.0
2019,192443.0,3.2073833333333335,3.0,12.0
2020,199546.5,3.325775,3.0,20.0
2021,207411.0,3.45685,3.0,27.0
2022,208405.0,3.4734166666666666,3.0,28.0
2023,200690.0,3.3448333333333333,3.0,21.0
2024,207758.0,3.4626333333333337,3.0,28.0
2025,241106.0,4.018433333333333,4.0,1.0
