chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
1958-08-04,1,Poor Little Fool,Ricky Nelson,,1,1
1958-08-11,1,Poor Little Fool,Ricky Nelson,1.0,1,2
1958-08-18,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,2.0,1,3
1958-08-25,1,Little Star,The Elegants,2.0,1,4
1958-09-01,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,2.0,1,5
1958-09-08,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1.0,1,6
1958-09-15,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1.0,1,7
1958-09-22,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1.0,1,8
1958-09-29,1,It's All In The Game,Tommy Edwards,3.0,1,7
1958-10-06,1,It's All In The Game,Tommy Edwards,1.0,1,8
1958-10-13,1,It's All In The Game,Tommy Edwards,1.0,1,9
1958-10-20,1,It's All In The Game,Tommy Edwards,1.0,1,10
1958-10-27,1,It's All In The Game,Tommy Edwards,1.0,1,11
1958-11-03,1,It's All In The Game,Tommy Edwards,1.0,1,12
1958-11-10,1,It's Only Make Believe,Conway Twitty,2.0,1,9
1958-11-17,1,Tom Dooley,The Kingston Trio,2.0,1,8
1958-11-24,1,It's Only Make Believe,Conway Twitty,2.0,1,11
1958-12-01,1,"To Know Him, Is To Love Him",The Teddy Bears,3.0,1,11
1958-12-08,1,"To Know Him, Is To Love Him",The Teddy Bears,1.0,1,12
1958-12-15,1,"To Know Him, Is To Love Him",The Teddy Bears,1.0,1,13
1958-12-22,1,The Chipmunk Song,The Chipmunks With David Seville,10.0,1,4
1958-12-29,1,The Chipmunk Song,The Chipmunks With David Seville,1.0,1,5
1959-01-05,1,The Chipmunk Song,The Chipmunks With David Seville,1.0,1,6
1959-01-12,1,The Chipmunk Song,The Chipmunks With David Seville,1.0,1,7
1959-01-19,1,Smoke Gets In Your Eyes,The Platters,2.0,1,10
1959-01-26,1,Smoke Gets In Your Eyes,The Platters,1.0,1,11
1959-02-02,1,Smoke Gets In Your Eyes,The Platters,1.0,1,12
1959-02-09,1,Stagger Lee,Lloyd Price,5.0,1,10
1959-02-16,1,Stagger Lee,Lloyd Price,1.0,1,11
1959-02-23,1,Stagger Lee,Lloyd Price,1.0,1,12
1959-03-02,1,Stagger Lee,Lloyd Price,1.0,1,13
1959-03-09,1,Venus,Frankie Avalon,7.0,1,5
1959-03-16,1,Venus,Frankie Avalon,1.0,1,6
1959-03-23,1,Venus,Frankie Avalon,1.0,1,7
1959-03-30,1,Venus,Frankie Avalon,1.0,1,8
1959-04-06,1,Venus,Frankie Avalon,1.0,1,9
1959-04-13,1,Come Softly To Me,The Fleetwoods,2.0,1,6
1959-04-20,1,Come Softly To Me,The Fleetwoods,1.0,1,7
1959-04-27,1,Come Softly To Me,The Fleetwoods,1.0,1,8
1959-05-04,1,Come Softly To Me,The Fleetwoods,1.0,1,9
1959-05-11,1,The Happy Organ,"Dave ""Baby"" Cortez",2.0,1,9
1959-05-18,1,Kansas City,Wilbert Harrison,6.0,1,6
1959-05-25,1,Kansas City,Wilbert Harrison,1.0,1,7
1959-06-01,1,The Battle Of New Orleans,Johnny Horton,2.0,1,6
1959-06-08,1,The Battle Of New Orleans,Johnny Horton,1.0,1,7
1959-06-15,1,The Battle Of New Orleans,Johnny Horton,1.0,1,8
1959-06-22,1,The Battle Of New Orleans,Johnny Horton,1.0,1,9
