type,artist_name,artist_id,album_name,album_id,track_name,track_id,popularity,duration_ms,title,performer
track,Marty Robbins,0Xi59sEw38vRvwleSAVqoo,Gunfighter Ballads And Trail Songs,3kQpBS26lAj0A0VGl1snRl,El Paso,4f8hBeMXMvssn6HtFAtblo,59,259306,El Paso,Marty Robbins
track,Johnny Preston,1B8n8vtEeexQ5NKehHTkeo,ROCK,2nqLruojLXh11mAl696aNt,Running Bear,1mE8QtaSFxEQnr3SgxmIRf,31,157960,Running Bear,Johnny Preston
track,Mark Dinning,55Rf9Kfqd30nmqaeEDMpic,Mark Dinning Presents Teen Angel,0iC3EDnTNvp0lbDKAhcLJl,Teen Angel,7aNVTsJFlnaUTEBO6fvWho,27,161826,Teen Angel,Mark Dinning
track,Percy Faith & His Orchestra,24DQLSng7bKZD4GXLIaQbv,16 Most Requested Songs,0XLV6vIukKpejiSTAaSPPi,"The Theme from ""A Summer Place""",6zwvB879PJSpTyFcg2wwnL,54,142693,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra
track,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis 30 #1 Hits,0QVoYzGd1p8Z3ohEaM0lsc,Stuck On You,7bA1DHtoJAvqyL42gHwOLa,46,138826,Stuck On You,Elvis Presley With The Jordanaires
track,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,The Golden Hits of The Everly Brothers,3wWjXsqngYcPmd4hQzjNAD,Cathy's Clown,1MA9StLzlFftLbuqOmoWij,38,144013,Cathy's Clown,The Everly Brothers
track,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,4bcUfInkGpIdxy530XJFaZ,Everybody's Somebody's Fool,0d8FE2qM1lDEv5TI8VuivT,41,157600,Everybody's Somebody's Fool,Connie Francis
track,The Hollywood Argyles,2QJGwjXfe7IOoBFcrpzOTt,Every Time You Smile,1t7PfAVMHFlF4AFv6b8KmS,Alley Oop,0hHJ8yxFMN6FOGMkIbsEta,24,161440,Alley-Oop,Hollywood Argyles
track,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,3DzEQCPg0Irz2vWUaBSEkm,I'm Sorry,4LJcNiq2pBb8OeqrGdBJQw,51,161546,I'm Sorry,Brenda Lee
track,Singer's Best,1rl4njKnnTzzHKqx2fSQtp,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini (Karaoke Version Originally Performed by Brian Hyland),4h8w0sRcIaDGiqNBPIJTA5,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini - Karaoke Version Originally Performed by Brian Hyland,4SPpYJludVnGte0TAqd8K1,0,142263,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
track,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Platinum - A Life In Music,0gv5aiVS1WBUZOKeb7YawE,It's Now or Never,6yP3V5FXNNJU8Z441vxhCV,54,193906,It's Now Or Never,Elvis Presley With The Jordanaires
track,Chubby Checker,7qQJQ3YtcGlqaLg5tcypN2,Dancin' Party: The Chubby Checker Collection (1960-1966),0YgWInMbwTXPCaHRUHqoeY,The Twist,4YCnTYbq3oL1Lqpyxg33CU,57,155040,The Twist,Chubby Checker
track,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,4bcUfInkGpIdxy530XJFaZ,My Heart Has A Mind Of Its Own,3045nQoh0ac7z0unR09c13,17,150760,My Heart Has A Mind Of Its Own,Connie Francis
track,Larry Verne,6vWMWDRy2Jbshg42p1Iuzg,Right Said Fred: A Barrel Of Laughs,6FaTus89ZtT8jtQnoutlqr,Mr Custer,0afR4FfSwgg5QFF1Wpuwil,4,184866,Mr. Custer,Larry Verne
track,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Save the Last Dance for Me,6sWL3HHXGkqlST0rfWXvBU,Save the Last Dance for Me,391TUcoPonqYykPkSZ5Z9U,57,154960,Save The Last Dance For Me,The Drifters
track,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,This Is...Brenda,7Kh2ce3pejIOQ9izmtFDSE,I Want To Be Wanted (Per Tutta La Vita),03cB3gd91JsP3bCERC6Lmf,30,185960,I Want To Be Wanted,Brenda Lee
track,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,True Genius,7gvxyetkX6vkoMyDkDM6ls,Georgia on My Mind,6yMGxqKj0218mFR5KqsMRq,52,219560,Georgia On My Mind,Ray Charles
track,Maurice Williams,1CgE69lpZKGAcA5kIIK82D,Dirty Dancing (Original Motion Picture Soundtrack),0mtLFaQ3hL371jsNraRo9g,Stay,5R2DZitRTDYtrkCoJiddct,50,94906,Stay,Maurice Williams & The Zodiacs
track,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,The Live Series Collection,3pMY1xDfAeZ18rRTfSYPfb,"Johnny Bye-Bye - Live at Wembley Stadium, London, UK - 6/5/1981",0EYzJF60r0KWvRwY3JZgut,10,217840,Are You Lonesome To-night?,Elvis Presley With The Jordanaires
track,Bert Kaempfert,2s6JabvZdqVQhfOsaxCSFX,Wonderland By Night,4NJgRrbHDkPMBMkup98HpB,Wonderland By Night (Wunderland bei Nacht),5Ik1BD4gKzxofvNgSRQbCF,36,195226,Wonderland By Night,Bert Kaempfert And His Orchestra
track,The Shirelles,0x83OBqixqdCHnStP5VMcn,Will You Still Love Me Tomorrow,13MaoinwLDJqTHPMEr0efZ,Will You Love Me Tomorrow,4QMvxtZGcmvwWtmmoiRs5B,60,160320,Will You Love Me Tomorrow,The Shirelles
track,Gil Scott-Heron,0kEfub5RzlZOB2zGomqVSU,The Revolution Begins: The Flying Dutchman Masters,19JwcgTFuLH6eQ9IykYpKm,Ain't No New Thing,75TRvQ1WMGXMaEt5gdEo8x,0,272933,Calcutta,Lawrence Welk And His Orchestra
